lat,lng,count,,,,
-32.052,151.387,328,,,,
-32.054,151.402,327.2,,,,
-32.149,151.337,327.1,,,,
-32.153,151.37,331.4,,,,
-32.16,151.334,335.5,,,,
-32.162,151.353,335.5,,,,
-32.15,151.349,331.1,,,,
-32.161,151.347,346.5,,,,
-32.568,150.48,332.1,,,,
-32.575,150.542,325.5,,,,
-32.577,150.557,325.3,,,,
-32.578,150.572,330.9,,,,
-32.58,150.587,330.2,,,,
-32.582,150.602,339.6,,,,
-32.594,150.616,340,,,,
-32.596,150.632,345.5,,,,
-32.564,150.252,335.8,,,,
-32.607,150.631,330.6,,,,
-32.608,150.646,335.6,,,,
-32.61,150.662,327.1,,,,
-32.621,150.756,328.4,,,,
-32.573,150.235,347.4,,,,
-32.594,150.415,335.5,,,,
-32.595,150.43,344.9,,,,
-32.597,150.446,340.3,,,,
-32.604,150.413,331.5,,,,
-32.644,150.768,337.3,,,,
-32.646,150.784,341.1,,,,
-32.579,150.243,334.8,,,,
-32.597,150.408,331.6,,,,
-32.599,150.423,330,,,,
-32.6,150.438,325,,,,
-32.635,150.763,323.9,,,,
-32.646,150.761,328.2,,,,
-32.647,150.777,344.7,,,,
-32.649,150.793,329,,,,
-32.66,150.792,340.1,,,,
-32.662,150.808,328.7,,,,
-32.673,150.807,340.7,,,,
-32.674,150.822,335.5,,,,
-32.623,150.251,328,,,,
-32.685,150.821,332.9,,,,
-32.698,150.835,324.2,,,,
-32.7,150.851,334.3,,,,
-32.701,150.868,334.1,,,,
-32.703,150.884,332,,,,
-32.723,150.963,328.3,,,,
-32.729,150.914,330.9,,,,
-32.66,150.199,324.8,,,,
-32.662,150.214,398.6,,,,
-32.733,150.847,324.7,,,,
-32.74,150.912,333.7,,,,
-32.672,150.212,331.7,,,,
-32.747,150.877,327.2,,,,
-32.749,150.894,343.1,,,,
-32.667,150.207,339.9,,,,
-32.668,150.222,328.4,,,,
-32.734,150.841,322.7,,,,
-32.741,150.905,326.5,,,,
-32.75,150.887,348.9,,,,
-32.688,150.116,338.2,,,,
-32.69,150.13,370.9,,,,
-32.692,150.145,392.3,,,,
-32.693,150.16,357.1,,,,
-32.695,150.174,340.2,,,,
-32.698,150.202,350.5,,,,
-32.7,150.216,376.2,,,,
-32.699,150.114,325,,,,
-32.7,150.129,327.7,,,,
-32.705,150.172,353.9,,,,
-32.707,150.186,353.6,,,,
-32.709,150.112,375.8,,,,
-32.711,150.127,375.8,,,,
-32.72,150.11,347.7,,,,
-32.721,150.125,350.4,,,,
-32.765,150.083,331.9,,,,
