lat,lng,count
-41.586,147.941,361
-41.588,147.954,328.2
-41.595,147.939,384.4
-41.597,147.952,382.7
-41.599,147.965,322.7
-41.606,147.95,393.1
-41.608,147.962,355.5
-41.625,147.945,361.2
-41.626,147.958,332.1
-41.632,147.931,338
-41.634,147.943,365.2
-16.682,145.207,329.7
-16.998,144.361,322.7
-18.058,144.786,330.8
-18.062,144.779,330.8
-18.401,145.3,318.7
-18.418,145.197,320.6
-19.611,144.521,330.7
-19.616,144.545,334.9
-19.845,144.559,332.4
-24.434,147.676,332.9
-24.436,147.688,332.7
-24.444,147.674,335.2
-24.911,149.463,340.3
-24.913,149.473,332.6
-24.921,149.461,348.7
-24.922,149.471,332.3
-24.616,146.717,328.6
-24.619,146.731,357.9
-24.621,146.745,334.4
-24.631,146.801,333
-24.633,146.815,346
-24.644,146.812,343
-24.841,147.774,354.2
-24.874,147.786,339.2
-25.089,147.603,331.6
-25.381,149.23,327.6
-25.39,149.228,334.3
-25.119,147.54,330.3
-25.397,149.216,345.4
-25.399,149.227,335.4
-25.402,149.183,342.3
-25.403,149.194,350.9
-25.405,149.204,348.9
-25.857,151.024,323.3
-25.937,150.504,332
-25.947,150.506,341.1
-25.957,150.514,347.1
-25.977,150.521,342.7
-25.998,150.477,328.7
-26.026,150.482,339.3
-26.035,150.484,334.6
-26.159,150.445,336.2
-26.16,150.455,325.9
-26.282,150.407,325.7
-26.285,150.427,335.8
-26.29,150.395,337.8
-26.291,150.405,359.9
-26.293,150.415,374.4
-26.294,150.425,366.5
-26.3,150.407,339.3
-26.312,150.426,342.6
-26.327,150.464,336.8
-26.332,150.433,326.4
-26.333,150.443,332.6
-26.335,150.452,352.3
-26.336,150.462,348.2
-26.345,150.461,327.2
-26.502,150.652,332.3
-26.517,150.691,330.4
-29.258,152.108,328.4
-29.266,152.096,325.8
-29.275,152.094,354.1
-29.277,152.105,351.4
-29.378,152.176,324.3
-29.379,152.188,328.2
-29.382,152.212,323.2
-29.412,152.106,340.8
-29.481,152.574,328.4
-30.624,151.978,337.7
-30.634,151.977,336.5
-30.509,150.847,335.2
-30.51,150.858,338.1
-30.521,150.867,334.8
-30.524,150.889,331
-30.528,150.921,329.8
-30.534,150.965,326.9
-30.757,152.039,327.2
-31.358,152.061,331.1
-31.361,152.086,331.9
-31.342,151.71,332.4
-31.345,151.703,331.1
-31.358,151.726,348.5
-31.374,151.699,349.3
-31.375,151.711,400.9
-31.419,152.059,335.1
-31.425,152.107,325.2
-31.383,151.698,346.2
-31.385,151.71,380.7
-31.43,152.069,343
-31.432,152.081,327.8
-31.394,151.708,336.7
-31.402,151.767,340.5
-31.411,151.766,336.3
-31.413,151.777,331
-31.453,152.091,345
-31.454,152.103,324.3
-31.422,151.776,332.5
-31.424,151.787,331.8
-31.425,151.799,329.4
-31.485,151.29,338.3
-31.494,151.289,327.2
-31.504,151.288,327
-31.505,151.299,361
-31.507,151.311,361.8
-31.508,151.322,361.2
-31.606,152.091,343
-31.608,152.103,338.4
-31.609,152.115,334.1
-31.611,152.128,345.1
-31.516,151.309,356
-31.517,151.32,355.2
-31.614,152.078,347.2
-31.616,152.089,333.8
-31.619,152.113,332.7
-31.577,151.222,335.4
-31.578,151.233,326.6
-31.791,152.611,323.1
-31.624,151.143,337
-31.625,151.154,362.7
-31.656,151.121,343.3
-31.773,151.803,340
-31.774,151.816,329.7
-31.79,151.788,334.6
-31.803,151.81,344.2
-31.808,151.847,331.1
-32.035,151.409,325.8
-32.039,151.403,326.8
-32.118,151.344,331.3
-32.12,151.356,330
-32.122,151.336,330.8
-32.141,151.334,336.9
-32.15,151.331,335.9
-32.16,151.402,345.3
-32.161,151.414,331.6
-32.16,151.329,334.6
-32.165,151.366,338
-32.166,151.377,326.5
-32.171,151.34,350.2
-32.172,151.352,360.1
-32.174,151.364,393.5
-32.175,151.376,362.6
-32.18,151.338,342.8
-32.182,151.35,399.1
-32.183,151.363,424.1
-32.185,151.375,387.1
-32.191,151.349,366.2
-32.193,151.361,389.4
-32.194,151.373,403.8
-32.554,150.485,379
-32.555,150.496,340.5
-32.557,150.508,333.4
-32.558,150.519,340.1
-32.56,150.53,339.3
-32.561,150.541,332.2
-32.569,150.597,340.7
-32.57,150.608,351.5
-32.572,150.619,361.8
-32.573,150.63,365.7
-32.559,150.478,355.9
-32.561,150.489,352.9
-32.568,150.545,326.7
-32.577,150.612,338.9
-32.579,150.623,360.7
-32.58,150.634,342.2
-32.569,150.476,349.3
-32.59,150.632,349.6
-32.591,150.644,337
-32.548,150.254,357.7
